,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,[[8126947]],[[31098880]],[690433.5780338896],[35140168.462334946],[34979817.85791428],[77163220.4503492],[150222436.93506154],[1747577903.9566226],[5919221538.640259],[6627693374.583879],[150195407.56293958],[0.019647987139672713],[0.08596036639908802],[0.45332242036764264],[0.8931043130841728]
1,[[8067463]],[[31272960]],[809433.8860926472],[34924097.18128469],[34765135.90948405],[77067923.80458063],[149314442.12253603],[1737478125.7761781],[5885085953.387011],[6626614138.323167],[149287517.09926614],[0.02317694518747391],[0.08593745147486864],[0.451097346253121],[0.8880984814480541]
2,[[7872796]],[[31164416]],[1210687.7590156584],[33989062.39626245],[33832034.846177466],[75436437.04832052],[146271586.94160295],[1708710183.9322426],[5788662571.681422],[6614828620.055505],[146244850.13371015],[0.035619922223826615],[0.08560350860962809],[0.44848399752107176],[0.8751039375579241]
3,[[7567775]],[[23099392]],[1785558.2730054676],[32923425.155713934],[32768849.074579366],[73393936.82424735],[141854808.314591],[1661706735.6564803],[5630497447.951005],[6598799593.1462345],[141824344.10962585],[0.05423367297176794],[0.08536693344902961],[0.44647896668970394],[0.8532608648698855]
4,[[7076476]],[[13015040]],[2767971.5507757585],[30972956.544101603],[30825712.89117195],[68206173.71594734],[132511794.76381673],[1585588488.254711],[5372654086.900133],[6587731081.292092],[132488348.30956355],[0.08936736623236191],[0.08357262665906154],[0.4519490129962321],[0.8155545544591905]
5,[[7883991]],[[31213568]],[1096897.7933567434],[35349034.2593171],[35192060.86032705],[74619045.01130249],[145759850.9881214],[1717660939.0848224],[5818307288.673545],[6630389061.817147],[145733926.17807385],[0.031030488281801622],[0.0848595014716833],[0.4716230401366908],[0.8775212486669612]
6,[[7795924]],[[31258624]],[1224119.1262280783],[34747894.729508035],[34590581.109103076],[73560532.06059389],[143938934.33036074],[1694147311.624172],[5738980086.981301],[6584031247.132809],[143911173.1325632],[0.0352285839403258],[0.08496246657108412],[0.47023288358776194],[0.8716514049778382]
7,[[7562740]],[[31184896]],[1826971.1175328344],[33625100.48040542],[33466405.9386246],[72135519.71957754],[140486781.22977936],[1660902105.0353947],[5628241676.197986],[6596554426.76444],[140462293.79810962],[0.054333551169534124],[0.08458462470717713],[0.4639379610588962],[0.8532093138445606]
8,[[7162391]],[[23111680]],[2538975.9782980685],[32467905.355259743],[32316022.487553444],[69236478.34785298],[135242803.33465546],[1613642468.7053623],[5468738918.351056],[6615717730.607489],[135217778.18052667],[0.07819956201414635],[0.08381212440644413],[0.46674850106028776],[0.8266282119398841]
9,[[6940232]],[[13017088]],[3055852.6869811905],[30912727.465354547],[30764100.548377723],[65787668.0006913],[129098254.14375205],[1558083408.362892],[5279641500.319887],[6585984177.496114],[129073675.56065638],[0.09885419170489045],[0.08285708804215948],[0.46762716301259455],[0.8016480692984481]
10,[[7034396]],[[31256576]],[2757030.084457159],[31897410.17046941],[31741701.663124118],[67660593.29957807],[131904158.94535995],[1584207475.614137],[5368611841.346012],[6552034518.3073225],[131878783.25003137],[0.0864342926188288],[0.083261921797349],[0.4691312936406376],[0.819380884875582]
11,[[6948146]],[[31248384]],[2886022.082114318],[31388242.34990573],[31233140.987043716],[66237100.37252585],[129373107.3858226],[1567057961.0506654],[5311550011.394332],[6508344876.492979],[129348532.3557764],[0.09194596020834489],[0.08255795931063188],[0.47153545084830967],[0.8161137911696622]
12,[[6736192]],[[31143936]],[3392048.4877090864],[30757594.593970053],[30599702.63690282],[64942545.78026234],[127719019.78661788],[1561601833.6122088],[5294403173.681937],[6605773897.684773],[127694781.78926529],[0.1102832823075862],[0.08178718610440247],[0.4711811381777219],[0.8014811369092647]
13,[[6379596]],[[23119872]],[4106706.0614594966],[29462281.70872087],[29302862.437308688],[63256451.78681511],[122960746.07416764],[1502459763.3918123],[5095241962.606723],[6588868688.99708],[122938022.47570708],[0.13938859529144706],[0.08183962663770974],[0.4632391101553446],[0.7733105944447486]
14,[[6144508]],[[13025280]],[4118694.239385536],[28783291.91172793],[28637674.60889454],[62208045.93958537],[120810985.83381966],[1487774599.976082],[5042351542.431836],[6614853079.051184],[120789430.82624973],[0.1430932310319706],[0.08120247908235687],[0.46035322563751013],[0.7622771786724396]
15,[[5976176]],[[31252480]],[5065298.662093238],[27894804.816586297],[27739542.886156846],[59739977.054061025],[117221311.11728227],[1463544579.3138273],[4964316994.997782],[6640999894.249265],[117200197.79694514],[0.1815857359604611],[0.0800941172370989],[0.46433802378354205],[0.7475255344148708]
16,[[5918170]],[[31256576]],[5095907.428047115],[27537433.776443575],[27381955.904771343],[58166694.23085686],[114724997.40833277],[1457166927.6423874],[4942532402.022796],[6609621917.142269],[114704043.28732255],[0.1850538241659367],[0.07873154079467837],[0.47074973516795604],[0.7477783849034053]
17,[[5788863]],[[31180800]],[5492902.068972473],[26780533.28480506],[26629596.669651154],[57141119.22948521],[112446306.09991543],[1434135224.7054126],[4865118916.47436],[6613281711.642356],[112426178.85653782],[0.2051080167282956],[0.07840704569753047],[0.46603211537918393],[0.7356588042982591]
18,[[5499816]],[[23113728]],[6050456.735282794],[25936951.60417921],[25785054.26197356],[54380253.755175576],[107371246.18500346],[1393672795.8118563],[4728806420.279349],[6607795264.377959],[107352730.70937116],[0.2332755532576884],[0.07704193301875889],[0.4741620805607127],[0.7156405776934294]
19,[[5302332]],[[13021184]],[6220553.304713429],[25216655.933444384],[25076452.832676668],[54280458.5612993],[106662903.36473115],[1369208755.2938392],[4645030705.47845],[6625887816.726019],[106643888.32885164],[0.2466843074328196],[0.07790112570660618],[0.4619793844290695],[0.7010427634697942]
20,[[5346167]],[[31262720]],[6393756.146230683],[25051344.07715973],[24891776.781394012],[52694845.43212973],[104929918.3901694],[1378617158.6976607],[4678914555.092834],[6600367483.687276],[104910349.4326816],[0.25522607196394365],[0.0761124418974254],[0.4723759331157787],[0.7088869773776554]
21,[[5322691]],[[31262720]],[6407232.789288352],[24896079.843202353],[24737806.357291],[54139694.451490246],[106473932.70999746],[1373069758.5548909],[4659936624.380503],[6587491048.332205],[106455131.762526],[0.2573591035071246],[0.07754444524512552],[0.4569254889211897],[0.7073917201846198]
